Org;User_name;Not found Level 0;Not found Leve1
BRA001;ABCiencias;;
BRA001;MarciaCBBarbosa;;
BRA002;ADMFarmServices;;
BRA002;Not Found;;1
BRA003;institutoakatu;;
BRA003;heliomattar;;
BRA004;Alcoa;;
BRA004;OCarvalheira;;
BRA005;Not Found;1;
BRA005;Not Found;;2
BRA006;ANAgovbr;;
BRA006;VSaback;;
BRA007;andicomunicacao;;
BRA007;Not Found;;3
BRA008;ANEEL_govbr;;
BRA008;PepitoneAndre;;
BRA009;ANPgovbr;;
BRA009;Not Found;;4
BRA010;ANPOCS;;
BRA010;Theorodrigues;;
BRA011;anppasoficial;;
BRA011;JacobiPedro;;
BRA012;Not Found;2;
BRA012;brenda_brito;;
BRA013;adtamazonia;;
BRA013;JoseArmelin;;
BRA014;FundacionAVINA;;
BRA014;GlauciaBH;;
BRA015;BancodoBrasil;;
BRA015;Not Found;;5
BRA016;the_IDB;;
BRA016;GustavoADeRosa;;
BRA017;bndes;;
BRA017;Not Found;;6
BRA018;fund_boticario;;
BRA018;Not Found;;7
BRA019;B3_Oficial;;
BRA019;Not Found;;8
BRA020;fundacaobunge;;
BRA020;MakotoYokoo;;
BRA021;CAPES_Oficial;;
BRA021;Claudia_qToledo;;
BRA022;@Cargill;;
BRA022;Not Found;;9
BRA023;CBNoficial;;
BRA023;pedrodiasleite;;
BRA024;Not Found;3;
BRA024;Not Found;;10
BRA025;cebds;;
BRA025;BellaMondino;;
BRA026;CNBBNacional;;
BRA026;Not Found;;11
BRA027;FazendaGovBr;;
BRA027;guilherme_afif;;
BRA028;CIBrasil;;
BRA028;rachel_biderman;;
BRA029;ClimateLandUse;;
BRA029;dlerda;;
BRA030;SistemaCNA;;
BRA030;SchreinerJose;;
BRA031;CNI_br;;
BRA031;LucianoPedregal;;
BRA032;CNPq_Oficial;;
BRA032;Not Found;;12
BRA033;Not Found;4;
BRA033;Not Found;;13
BRA034;CoiabAmazonia;;
BRA034;Not Found;;14
BRA035;CONIC_Brasil;;
BRA035;Not Found;;15
BRA036;consea;5;
BRA036;Not Found;;16
BRA037;Contraf_CUT;;
BRA037;Not Found;;17
BRA038;Not Found;6;
BRa038;Not Found;;18
BRA039;Not Found;7;
BRA039;DinucciPedro;;
BRA040;CoppeUFRJ;;
BRA040;angela_uller;;
BRA041;Not Found;8;
BRA041;Not Found;;19
BRA042;cptnacional;;
BRA042;Isowichi;;
BRA043;CUT_Brasil;;
BRA043;CutNobre;;
BRA044;DuratexOficial;;
BRA044;GuedinRodrigo;;
BRA045;Eletrobras;;
BRA045;rodrigolimp;;
BRA046;Not Found;9;
BRA046;Not Found;;20
BRA047;embrapa;;
BRA047;moretti_celso;;
BRA048;EPE_Brasil;;
BRA048;Not Found;;21
BRA049;EXTINTA;;
BRA049;EXTINTA;;
BRA050;ESALQMidias;;
BRA050;Not Found;;22
BRA051;Not Found;10;
BRA051;Not Found;;23
BRA052;institutoethos;;
BRA052;heliomattar;;
BRA053;AgenciaFAPESP;;
BRA053;zagofranca;;
BRA054;fasamazonia;;
BRA054;virgilio_viana;;
BRA055;ONGFase;;
BRA055;LeticiaTura;;
BRA056;Not Found;11;
BRA056;LuconOswaldo;;
BRA057;FEAUSPcomunica;;
BRA057;Tatiana Albanez;;
BRA058;FEBRABAN;;
BRA058;IsaacSidney;;
BRA059;CONTRAFBRASIL;;
BRA059;JosanaLima6;;
BRA060;Fiesp;;
BRA060;skafoficial;;
BRA061;folha;;
BRA061;SERGIO_DAVILA;;
BRA062;FordFoundation;;
BRA062;darrenwalker;;
BRA063;governosp;;
BRA063;MarcosPenido6;;
BRA064;RYoungSilva;;
BRA065;Not Found;12;
BRA065;Not Found;;24
BRA066;funbio;;
BRA066;Not Found;;25
BRA067;Not Found;13;
BRA067;Not Found;;26
BRA068;gerdau;;
BRA068;Not Found;;27
BRA069;giz_gmbh;;
BRA069;rosenauermicha1;;
BRA070;GloboNews;;
BRA070;Not Found;;28
BRA071;GreenpeaceBR;;
BRA071;capasquali;;
BRA072;RedeGTA;;
BRA072;Not Found;;29
BRA073;FGV_EAESP;;
BRA073;Not Found;;30
BRA074; iag.usp;;
BRA074;RIFTrindade;;
BRA075;ibgecomunica;;
BRA075;Not Found;;31
BRA076;ICLEI;;
BRA076;RodrigoPerpetuo;;
BRA077;iconebrasil;;
BRA077;Not Found;;32
BRA078;icvcentrodevida;;
BRA078;AliceThuault;;
BRA079;idec;;
BRA079;teresaliporace;;
BRA080;Idesam;;
BRA080;Cenamo;;
BRA081;@IDS_Brasil;;
BRA081;jprcapo;;
BRA082;iieboficial;;
BRA082;benusan;;
BRA083;UspIee;;
BRA083;Not Found;;33
BRA084;fundacaofhc;;
BRA084;FHC;;
BRA085;Imaflora;;
BRA085;MarinaPiatto;;
BRA086;Imazon;;
BRA086;aguimaraes;;
BRA087;mcti;;
BRA087;TemporinEduardo;;
BRA088;inpe_mct;;
BRA088;cleziodenardin;;
BRA089;Not Found;14;
BRA089;Not Found;;34
BRA090;osbrasil;;
BRA090;Not Found;;35
BRA091;IPAM_Amazonia;;
BRA091;aguimaraes;;
BRA092;InstitutoIPE;;
BRA092;GraziellaComini;;
BRA093;ipeaonline;;
BRA093;JesseSouzaecht;;
BRA094;Id_sustentavel;;
BRA094;ricvoltolini;;
BRA095;socioambiental;;
BRA095;ninaskahn;;
BRA096;isernarede;;
BRA096;lunaroze;;
BRA097;IUCN;;
BRA097;andersen_inger;;
BRA098;Not Found;15;
BRA098;Not Found;;36
BRA099;JBS_oficial;;
BRA099;julianonobrega;;
BRA100;Not Found;16;
BRA100;EDUARDO EL KOBBI;;
BRA101;Not Found;17;
BRA101;TiagoIsaac4;;
BRA102;Not Found;18;
BRA102;Not Found;;37
BRA103;Mapa_Brasil;;
BRA103;TerezaCrisMS;;
BRA104;marfrig_mrfg3;;
BRA104;paulopianez;;
BRA105;casacivilbr;;
BRA105;ciro_nogueira;;
BRA106;MinCidades;;
BRA106;rogeriosmarinho;;
BRA107;mcti;;
BRA107;Astro_Pontes;;
BRA108;museugoeldi;;
BRA108;Alex_Bonaldo;;
BRA109;metodista1re;;
BRA109;prpaulorangel;;
BRA110;FazendaGovBr;;
BRA110;PauloGuedesReal;;
BRA111;mmeioambiente;;
BRA111;joaquimleitemma;;
BRA112;Minas_Energia;;
BRA112;Not Found;;38
BRA113;MooreFound;;
BRA113;HFineberg;;
BRA114;MPF_PGR;;
BRA114;Not Found;;39
BRA115;CGUonline;;
BRA115;Not Found;;40
BRA116;ItamaratyGovBr;;
BRA116;;;41
BRA117;minsaude;;
BRA117;mqueiroga2;;
BRA118;MST_Oficial;;
BRA118;stedile_mst;;
BRA119;MInfraestrutura;;
BRA119;tarcisiogdf;;
BRA120;naturabroficial;;
BRA120;romarques20;;
BRA121;Nestle;;
BRA121;ViVendramini;;
BRA122;JornalOGlobo;;
BRA122;JrmMarinho;;
BRA123;obsclima;;
BRA123;tassoazevedo;;
BRA124;oec_eng;;
BRA124;Not Found;;42
BRA125;Estadao;;
BRA125;caminoto;;
BRA126;OxfamBrasil;;
BRA126;brdecarneeosso;;
BRA127;paodeacucar;;
BRA127;Jorge_Faical;;
BRA128;InstPeabiru;;
BRA128;JoaoMeirelles;;
BRA129;petrobras;;
BRA129;SilvaeLuna;;
BRA130;PackardFdn;;
BRA130;nancylindborg;;
BRA131;eldoradoradio;;
BRA131;Not Found;;43
BRA132;SBPCnet;;
BRA132;JanineRenato;;
BRA133;SBTonline;;
BRA133;PgmSilvioSantos;;
BRA134;governosp;;
BRA134;Not Found;;44
BRA135;sosamazonia_;;
BRA135;;;
BRA136;Not Found;19;
BRA136;marcelo_bacci;;
BRA137;tetrapak;;
BRA137;QueirozMarceloV;;
BRA138;TNCBrasil;;
BRA138;Not Found;;45
BRA139;TVGloboInter;;
BRA139;realvillela;;
BRA140;ufac_oficial;;
BRA140;Not Found;;46
BRA141;UFAM_;;
BRA141;Not Found;;47
BRA142;UFPA_Oficial;;
BRA142;eztourinho;;
BRA143;UNICA_cana;;
BRA143;evandrogussi;;
BRA144;unicampoficial;;
BRA144;Not Found;;48
BRA145;USAID;;
BRA145;jerry_d_glover;;
BRA146;valenobrasil;;
BRA146;DeshneeNaidoo3;;
BRA147;Not Found;20;
BRA147;Not Found;;49
BRA148;valoreconomico;;
BRA148;verabrandi;;
BRA149;Not Found;21;
BRA149;Not Found;;50
BRA150;WRIBrasil;;
BRA150;feboscaini;;
BRA151;wwfbrasil;;
BRA151;mauvoivodic;;
BRA 152;CoalizaoCs;;
BRA 152;val_amazon;;
Total;;21;50
;;14%;33%
