Org;User_name;OT_SUB;OT_GEO;;;Organization categories list;Details
BRA001;ABCiencias;22;NAT;;;;
BRA002;ADMFarmServices;32;NAT;;;;
BRA003;institutoakatu;42;LOC;;1;Political system;
BRA004;Alcoa;35;NAT;;11;Government’s chief executive office;11 Government’s chief executive office. Examples: Chancellors office in Germany, Prime Minister’s office in Finland, the President of the US
BRA005;Not Found;32;LOC;;12;Gov't ministry/department/department subsection;12 Gov't ministry/department/department subsection. Examples: ministry of environment in Finland, Department of Energy- Office of Biological & Environmental Research  in the US
BRA006;ANAgovbr;13;NAT;;13;Independent governmental agency;"13 Independent governmental agency . Defined as: Not all agencies are formally independent; some are in sub- ordinate relationships with public administration and ministries. Instead, IAs are defined as ‘governmental entities... neither directly elected by the people, nor directly managed by elected officials’ . Example: US Environmental Protection Agency"
BRA007;andicomunicacao;;;;14;Other gov’t agency;14 Other gov’t agency. Any government agency that does not fall into 12 or 13. Examples: the union of Finnish municipalities Kuntaliitto, German Umweltbundesamt
BRA008;ANEEL_govbr;13;NAT;;15;Ruling political party;15 Ruling political party. A political party that is part of the government at the time of data collection
BRA009;ANPgovbr;13;NAT;;16;Non-ruling political party;16 Non-ruling political party. A political party that is not part of the government at the time of data collection
BRA010;ANPOCS;22;NAT;;17;Governmental advisory committee or gov’t organized stakeholder forum;17 Governmental advisory committee or stakeholder forum. A committee, often consisting of scientists, set by the government to give advice to the government.  Example: the scientist panel on climate change set 
BRA011;anppasoficial;22;NAT;;2;Science;
BRA012;Not Found;41;LOC;;21;University or other research-oriented higher education institution or a research institute within a university;21 University or other research-oriented higher education institution or a research institute within a university. These are differentiated from 22 (non-university research institutes) in that they are organizations or parts of organizations that engage not only in research but also in education. Most of them are called university but not all. These are also differentiated from 34 (business think tanks) 43 (environmental think tanks) and 44 (other think tanks) in that think tanks do not engage in education and do not publish most of their work in peer reviewed journals.
